source,entities/urls/0/start,entities/urls/0/end,entities/urls/0/url,entities/urls/0/expanded_url,entities/urls/0/display_url,entities/urls/1/start,entities/urls/1/end,entities/urls/1/url,entities/urls/1/expanded_url,entities/urls/1/display_url,entities/hashtags/0/start,entities/hashtags/0/end,entities/hashtags/0/tag,attachments/media_keys/0,attachments/media_keys/1,possibly_sensitive,conversation_id,context_annotations/0/domain/id,context_annotations/0/domain/name,context_annotations/0/domain/description,context_annotations/0/entity/id,context_annotations/0/entity/name,geo/place_id,id,reply_settings,author_id,created_at,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,lang,text,entities/mentions/0/start,entities/mentions/0/end,entities/mentions/0/username,in_reply_to_user_id,referenced_tweets/0/type,referenced_tweets/0/id,entities/annotations/0/start,entities/annotations/0/end,entities/annotations/0/probability,entities/annotations/0/type,entities/annotations/0/normalized_text,entities/annotations/1/start,entities/annotations/1/end,entities/annotations/1/probability,entities/annotations/1/type,entities/annotations/1/normalized_text,context_annotations/1/domain/id,context_annotations/1/domain/name,context_annotations/1/domain/description,context_annotations/1/entity/id,context_annotations/1/entity/name,context_annotations/2/domain/id,context_annotations/2/domain/name,context_annotations/2/domain/description,context_annotations/2/entity/id,context_annotations/2/entity/name,context_annotations/3/domain/id,context_annotations/3/domain/name,context_annotations/3/domain/description,context_annotations/3/entity/id,context_annotations/3/entity/name,entities/mentions/1/start,entities/mentions/1/end,entities/mentions/1/username,entities/mentions/2/start,entities/mentions/2/end,entities/mentions/2/username,entities/mentions/3/start,entities/mentions/3/end,entities/mentions/3/username,entities/mentions/4/start,entities/mentions/4/end,entities/mentions/4/username,entities/mentions/5/start,entities/mentions/5/end,entities/mentions/5/username,entities/mentions/6/start,entities/mentions/6/end,entities/mentions/6/username,entities/annotations/2/start,entities/annotations/2/end,entities/annotations/2/probability,entities/annotations/2/type,entities/annotations/2/normalized_text,entities/hashtags/1/start,entities/hashtags/1/end,entities/hashtags/1/tag,context_annotations/0/entity/description,context_annotations/1/entity/description,entities/annotations/3/start,entities/annotations/3/end,entities/annotations/3/probability,entities/annotations/3/type,entities/annotations/3/normalized_text,entities/annotations/4/start,entities/annotations/4/end,entities/annotations/4/probability,entities/annotations/4/type,entities/annotations/4/normalized_text,entities/mentions/7/start,entities/mentions/7/end,entities/mentions/7/username,entities/mentions/8/start,entities/mentions/8/end,entities/mentions/8/username,entities/mentions/9/start,entities/mentions/9/end,entities/mentions/9/username,entities/mentions/10/start,entities/mentions/10/end,entities/mentions/10/username,entities/mentions/11/start,entities/mentions/11/end,entities/mentions/11/username,entities/mentions/12/start,entities/mentions/12/end,entities/mentions/12/username,entities/mentions/13/start,entities/mentions/13/end,entities/mentions/13/username,entities/mentions/14/start,entities/mentions/14/end,entities/mentions/14/username,entities/mentions/15/start,entities/mentions/15/end,entities/mentions/15/username,entities/mentions/16/start,entities/mentions/16/end,entities/mentions/16/username,entities/mentions/17/start,entities/mentions/17/end,entities/mentions/17/username,entities/mentions/18/start,entities/mentions/18/end,entities/mentions/18/username,entities/mentions/19/start,entities/mentions/19/end,entities/mentions/19/username,entities/mentions/20/start,entities/mentions/20/end,entities/mentions/20/username,entities/mentions/21/start,entities/mentions/21/end,entities/mentions/21/username,entities/mentions/22/start,entities/mentions/22/end,entities/mentions/22/username,entities/mentions/23/start,entities/mentions/23/end,entities/mentions/23/username,entities/mentions/24/start,entities/mentions/24/end,entities/mentions/24/username,entities/mentions/25/start,entities/mentions/25/end,entities/mentions/25/username,entities/mentions/26/start,entities/mentions/26/end,entities/mentions/26/username,entities/mentions/27/start,entities/mentions/27/end,entities/mentions/27/username,entities/mentions/28/start,entities/mentions/28/end,entities/mentions/28/username,entities/mentions/29/start,entities/mentions/29/end,entities/mentions/29/username,entities/mentions/30/start,entities/mentions/30/end,entities/mentions/30/username,entities/mentions/31/start,entities/mentions/31/end,entities/mentions/31/username,entities/mentions/32/start,entities/mentions/32/end,entities/mentions/32/username,entities/mentions/33/start,entities/mentions/33/end,entities/mentions/33/username,entities/mentions/34/start,entities/mentions/34/end,entities/mentions/34/username,entities/mentions/35/start,entities/mentions/35/end,entities/mentions/35/username,entities/mentions/36/start,entities/mentions/36/end,entities/mentions/36/username,entities/mentions/37/start,entities/mentions/37/end,entities/mentions/37/username,entities/mentions/38/start,entities/mentions/38/end,entities/mentions/38/username,entities/mentions/39/start,entities/mentions/39/end,entities/mentions/39/username,entities/mentions/40/start,entities/mentions/40/end,entities/mentions/40/username,entities/mentions/41/start,entities/mentions/41/end,entities/mentions/41/username,entities/mentions/42/start,entities/mentions/42/end,entities/mentions/42/username,entities/mentions/43/start,entities/mentions/43/end,entities/mentions/43/username,entities/mentions/44/start,entities/mentions/44/end,entities/mentions/44/username,entities/mentions/45/start,entities/mentions/45/end,entities/mentions/45/username,entities/mentions/46/start,entities/mentions/46/end,entities/mentions/46/username,entities/mentions/47/start,entities/mentions/47/end,entities/mentions/47/username,entities/mentions/48/start,entities/mentions/48/end,entities/mentions/48/username,entities/mentions/49/start,entities/mentions/49/end,entities/mentions/49/username,context_annotations/3/entity/description,context_annotations/4/domain/id,context_annotations/4/domain/name,context_annotations/4/domain/description,context_annotations/4/entity/id,context_annotations/4/entity/name,context_annotations/4/entity/description,entities/hashtags/2/start,entities/hashtags/2/end,entities/hashtags/2/tag,entities/urls/2/start,entities/urls/2/end,entities/urls/2/url,entities/urls/2/expanded_url,entities/urls/2/display_url,entities/hashtags/3/start,entities/hashtags/3/end,entities/hashtags/3/tag,entities/hashtags/4/start,entities/hashtags/4/end,entities/hashtags/4/tag,entities/hashtags/5/start,entities/hashtags/5/end,entities/hashtags/5/tag,entities/hashtags/6/start,entities/hashtags/6/end,entities/hashtags/6/tag,attachments/media_keys/2,geo/coordinates/type,geo/coordinates/coordinates/0,geo/coordinates/coordinates/1,entities/urls/3/start,entities/urls/3/end,entities/urls/3/url,entities/urls/3/expanded_url,entities/urls/3/display_url,attachments/media_keys/3,context_annotations/2/entity/description,entities/urls/0/status,entities/urls/0/title,entities/urls/0/description,entities/urls/0/unwound_url,context_annotations/5/domain/id,context_annotations/5/domain/name,context_annotations/5/domain/description,context_annotations/5/entity/id,context_annotations/5/entity/name,context_annotations/5/entity/description,entities/hashtags/7/start,entities/hashtags/7/end,entities/hashtags/7/tag,entities/hashtags/8/start,entities/hashtags/8/end,entities/hashtags/8/tag,entities/urls/1/unwound_url
Twitter for Android,211,234,https://t.co/HNhY5ndAQK,https://twitter.com/LidkRodelo/status/1373414918528061440/photo/1,pic.twitter.com/HNhY5ndAQK,,,,,,0,16,ServicioPúblico,"3,13734149158941E+019",,False,"1,37341491852806E+018",123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,01c93e351e3122fb,"1,37341491852806E+018",everyone,67153643,2021-03-20T23:23:28+00:00,156,1,34,2,es,"#ServicioPúblico Para paciente con COVID-19 en #Guarenas se requiere con urgencia, en calidad de donación, lo siguiente:

√ Levofloxacina 500mg ampollas

√ Bombona de oxígeno

Contacto: Yuviris Coy
0424-1374295 https://t.co/HNhY5ndAQK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,56,Guarenas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter for Android,,,,,,,,,,,,,,,,False,"1,37328139247859E+018",123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,00914f80743a0863,"1,37328139247859E+018",everyone,69515394,2021-03-20T14:32:52+00:00,7,1,6,0,es,"¿Por qué nadie habla de la dexametasona y el uso indiscriminado que la gente, y médicos, le están dando? Aunado a eso la cantidad de médicos que la mandan cuando el paciente apenas presenta fiebre y/o cefalea y sin compromiso pulmonar, y a dosis sumamente elevadas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter for Android,,,,,,,,,,,,,,,,False,"1,37310189020921E+018",123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,01a74227630d48a8,"1,37311534849341E+018",everyone,278515013,2021-03-20T03:33:04+00:00,0,0,0,0,es,@la_iguanatv @drodriven2 Mi amada hija por 2da vez le da covid-19 pero esta vez es más fuerte q la primera vez ya estoy buscando una bombona de oxígeno en cuidad Guayana lo hospitale colapsado la cifras de infectado y  fallecido no es la cifra real siento una gran angustia  y un terror q la hospitalince,0,12,la_iguanatv,587060118,replied_to,"1,37310189020921E+018",155,168,0.7211,Place,cuidad Guayana,,,,,,,,,,,,,,,,,,,,,13,24,drodriven2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter for Android,155,178,https://t.co/NHQMJvCyKT,https://twitter.com/FarmaciaeVital/status/1372718377576321029/photo/1,pic.twitter.com/NHQMJvCyKT,155,178,https://t.co/NHQMJvCyKT,https://twitter.com/FarmaciaeVital/status/1372718377576321029/photo/1,pic.twitter.com/NHQMJvCyKT,70,79,Farmacia,"3,13727183234573E+019","3,13727183468154E+019",False,"1,37271837757632E+018",123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,01bc41ac40f6f2ff,"1,37271837757632E+018",everyone,"1,14863325752687E+018",2021-03-19T01:15:39+00:00,2,1,1,2,es,"Disponible para entrega inmediata. @BuscandoMedicin @BuscoMedicinas 

#Farmacia #farmaciaesencisvital #enoxaparina #clexane #clenox #dexametasona #decobel https://t.co/NHQMJvCyKT",35,51,BuscandoMedicin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,67,BuscoMedicinas,,,,,,,,,,,,,,,,,,,,,80,101,farmaciaesencisvital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,114,enoxaparina,155,178,https://t.co/NHQMJvCyKT,https://twitter.com/FarmaciaeVital/status/1372718377576321029/photo/1,pic.twitter.com/NHQMJvCyKT,115,123,clexane,124,131,clenox,132,145,dexametasona,146,154,decobel,"3,13727183749298E+019",,,,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,63,86,https://t.co/sMhYaCT8JG,https://www.instagram.com/p/CMhbBvUnjzQ/?igshid=1pgedg4h8fx56,instagram.com/p/CMhbBvUnjzQ/…,,,,,,0,8,decobel,,,False,"1,3721842812845E+018",123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,00ec4c32070f5076,"1,3721842812845E+018",everyone,"1,09710975952477E+018",2021-03-17T13:53:21+00:00,0,0,0,0,ca,#decobel #Dexametasona #quédateencasa en Farmacia MKB 1508 C.A https://t.co/sMhYaCT8JG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,22,Dexametasona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,37,quédateencasa,,,,,,,,,,,,,,,,,,,Point,-66.9167,10.5,,,,,,,,,,,,,,,,,,,,,,,,
Twitter for Android,849,872,https://t.co/3sL57xA7Nc,https://twitter.com/OJOVENE/status/1371445545978499073/photo/1,pic.twitter.com/3sL57xA7Nc,,,,,,,,,"3,13714455398926E+019",,False,"8,49595040091574E+017",,,,,,00ec4c32070f5076,"1,3714455459785E+018",everyone,910821878,2021-03-15T12:57:53+00:00,1,0,3,0,es,@Fredypm @Fooros @CarpinteroAlejo @IIuminat @AlexRodrilobo @Florencia90102 @Freihei77513885 @Dante27579076 @Jose33076037 @SanchezPinedaA2 @PriscilianoManu @Tropatriunfante @leonardo19741 @Viejis39 @Samurai16157668 @burundango1970 @HUS07777781 @saintmayo1981 @RamadanMezVzla @WilfredoNc @r_taribo @1961Tokio @kris_indignada @Klobo91 @3lS0ld4d0R0j0 @JuanCalosoooooo @OnlineFighterVe @Casanay1910 @Monknk1 @thegreattiger @RiegoPineda @MirafloresEl @antoniovaldez6 @rosdabella @FratriaSpartak @yaruabella @pilarneo58 @tawfi78682819 @jmorchio @ChalecosAmarill @la_lunerita @dpiloncita @benito3fantomas @ThomasBrown2020 @HaIconn @Corsarionegro5 @ArmandoInfo @Urdanet03364722 @indioguerrero50 @PartidoPSUV Eres culpable y cómplice porque callas de las colas en el Perú por una bombona de oxígeno es tu culpa mientras hablás de forma histérica de Venezuela https://t.co/3sL57xA7Nc,0,8,Fredypm,43364339,replied_to,"1,37143010585625E+018",757,760,943,Place,Perú,839,847,0.9886,Place,Venezuela,,,,,,,,,,,,,,,,9,16,Fooros,17,33,CarpinteroAlejo,34,43,IIuminat,44,58,AlexRodrilobo,59,74,Florencia90102,75,91,Freihei77513885,,,,,,,,,,,,,,,,,,,,,92,106,Dante27579076,107,120,Jose33076037,121,137,SanchezPinedaA2,138,154,PriscilianoManu,155,171,Tropatriunfante,172,186,leonardo19741,187,196,Viejis39,197,213,Samurai16157668,214,229,burundango1970,230,242,HUS07777781,243,257,saintmayo1981,258,273,RamadanMezVzla,274,285,WilfredoNc,286,295,r_taribo,296,306,1961Tokio,307,322,kris_indignada,323,331,Klobo91,332,346,3lS0ld4d0R0j0,347,363,JuanCalosoooooo,364,380,OnlineFighterVe,381,393,Casanay1910,394,402,Monknk1,403,417,thegreattiger,418,430,RiegoPineda,431,444,MirafloresEl,445,460,antoniovaldez6,461,472,rosdabella,473,488,FratriaSpartak,489,500,yaruabella,501,512,pilarneo58,513,527,tawfi78682819,528,537,jmorchio,538,554,ChalecosAmarill,555,567,la_lunerita,568,579,dpiloncita,580,596,benito3fantomas,597,613,ThomasBrown2020,614,622,HaIconn,623,638,Corsarionegro5,639,651,ArmandoInfo,652,668,Urdanet03364722,669,685,indioguerrero50,686,698,PartidoPSUV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter for Android,,,,,,,,,,,,,,,,False,"1,37141845337093E+018",123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,00ec4c32070f5076,"1,37141845337093E+018",everyone,"1,35846475704979E+018",2021-03-15T11:10:13+00:00,0,1,0,0,es,"*Tenemos despacho inmediato de los siguientes medicamentos a toda Ccs:* 
Amlodipina 10Mg
Amlodipina 5mg
Amoxicilina 600mg
Cetirizina 10mg
Ciprofloxacina 500mg
Dexametasona 8mg/2ml amp 
Diatonb (Diosmina) 450mg
Diclofenac potásico 50mg x 30tab
Esomeprazol 40mg
Enalapril 5mg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter for Android,32,55,https://t.co/euXKPNypwE,https://twitter.com/VirtualShowz/status/1371253523774537732,twitter.com/VirtualShowz/s…,,,,,,,,,,,False,"1,37132288187192E+018",,,,,,00914f80743a0863,"1,37132288187192E+018",everyone,140833475,2021-03-15T04:50:27+00:00,0,0,0,0,es,Necesito una bombona de oxígeno https://t.co/euXKPNypwE,,,,,quoted,"1,37125352377454E+018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter for Android,,,,,,,,,,,,,,,,False,"1,36978503586016E+018",46,Brand Category,Categories within Brand Verticals that narrow down the scope of Brands,"7,81974596752843E+017",Services,01c93e351e3122fb,"1,36978503586016E+018",everyone,708150150,2021-03-10T22:59:36+00:00,41,0,2,1,es,"Twitter necesito de tu magia, tengo una amiga hospitalizada con covid en Caracas pero ya su póliza no aguanta más y para darla de alta es necesario oxígeno, si me pudieran ayudar a conseguí dónde alquilar una bombona se los agradecería @Aurylicious @soyluisalamo @negromangueraa",236,248,Aurylicious,,,,0,6,0.7601,Product,Twitter,73,79,0.9979,Place,Caracas,47,Brand,Brands and Companies,10045225402,Twitter,123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,,,,,,249,262,soyluisalamo,263,278,negromangueraa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter for Android,,,,,,,,,,,,,,,,False,"1,36904113602372E+018",123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,018e4aba7010ecbe,"1,3690460887082E+018",everyone,121922067,2021-03-08T22:03:17+00:00,0,1,0,0,es,"Calmaron la crisis, el médico nos dijo esto cuando preguntamos que iba a pasar: ""yo les dije a ustedes que esto iba a pasar, y va a seguir pasando pero peor, en un momento la dexametasona no va a hacer nada y bueno tendrá que fallecer""",,,,121922067,replied_to,"1,3690457667408E+018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter for Android,,,,,,,,,,,,,,,,False,"1,36904113602372E+018",123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,018e4aba7010ecbe,"1,36904425312979E+018",everyone,121922067,2021-03-08T21:56:00+00:00,0,1,0,0,es,"Fué difícil que los médicos nos tomarán en cuenta en realidad, de echo mandaron la dexametasona intravenosa, y no explicaron al menos como debíamos hacerlo tuve que llamar, tampoco mandaron tto anticonvulsivo, porque bueno a su criterio no había mucho que hacer con mi mamá.",,,,121922067,replied_to,"1,36904359866731E+018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter for Android,,,,,,,,,,,,,,,,False,"1,36834091572779E+018",123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,01be351754bcbe13,"1,36863537145466E+018",everyone,3866438837,2021-03-07T18:51:15+00:00,0,0,0,0,es,"@lilimilani @VenezolanaEnVE Yo con mi problema uso: Hidrocortisona,  Dexametasona, Betaduo,  Betagen Solpen,",0,11,lilimilani,109418607,replied_to,"1,36862448567971E+018",,,,,,,,,,,,,,,,,,,,,,,,,,12,27,VenezolanaEnVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter for Android,,,,,,,,,,,,,,,,False,"1,36833889915261E+018",,,,,,01a73d6169f504ac,"1,36833889915261E+018",everyone,83521740,2021-03-06T23:13:10+00:00,221,0,45,1,es,URGENTE: la señora Rosa Henríquez está en el hospital Razetti de Barcelona. Tiene 76 años. Necesita un flujómetro y una bombona de oxígeno URGENTE. Está en el piso 2 cuarto No. 4. Quiénes puedan ayudar llamen a Francisco Velasquez +58 4120861282. DIOS LES PAGUE,,,,,,,19,32,0.9616,Person,Rosa Henríquez,65,73,0.86,Place,Barcelona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211,229,0.9666,Person,Francisco Velasquez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter for Android,,,,,,,,,,,,,,,,False,"1,36495259222114E+018",123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,01c93e351e3122fb,"1,36728488527102E+018",everyone,83016326,2021-03-04T01:24:54+00:00,0,0,0,0,es,@AleCrespoF Con todo respeto el estudio muestra que la mortalidad en pacientes COVID 19 es menor cuando los pacientes se les administra dexametasona con  soporte ventilatorio invasivo y no invasivo. El uso de dexametosana sin uso de soporte ventilatorio se asocio con mayor mortalidad.,0,11,AleCrespoF,84292762,replied_to,"1,36495259222114E+018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter for Android,,,,,,,,,,,,,,,,False,"1,36155748812712E+018",123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,01be351754bcbe13,"1,36163700956406E+018",everyone,3866438837,2021-02-16T11:22:15+00:00,0,1,1,0,es,"@cerezadorada_41 No he dormido en toda la noche, me parda cada vez que me inyecto una Dexametasona, todo por mi enfermedad ""EPOC""",0,16,cerezadorada_41,2250954344,replied_to,"1,36155748812712E+018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter for Android,,,,,,,,,,,,,,,,False,"1,36157665291711E+018",123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,00ec4c32070f5076,"1,3615766754028E+018",everyone,182186055,2021-02-16T07:22:30+00:00,0,1,0,0,es,"Ahora imagínense lo que yo siento cuando veo la gente como si nada amuñuñada, amigos lo que están gastando en curda en tratar de pasarla bien etc etc lo van a gastar en azitromicina, dexametasona, salbutamol, ibuprofeno, loratadina, y rogar que no se compliquen.",,,,182186055,replied_to,"1,36157667026056E+018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter for Android,,,,,,,,,,,,,,,,False,"1,36116598766871E+018",123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,0176ea0c39765f09,"1,36116598766871E+018",everyone,145757259,2021-02-15T04:10:35+00:00,0,0,0,0,es,Y estás ganas locas que cargo será la dexametasona 😳😳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter for Android,,,,,,,,,,,,,,,,False,"1,36062398639317E+018",,,,,,01cb69a764a68d10,"1,3606532346423E+018",everyone,487787514,2021-02-13T18:13:05+00:00,0,0,1,0,es,"@jaarreaza Disculpe usted lo que le voy a decir porque merece todo mi respeto. Estoy de acuerdo que ayuden a Brasil, pero nosotros que? Sabe cuánto cuesta una bombona de oxígeno aquí? Pues 60$ apliquen la ley, no es justo",0,10,jaarreaza,138212728,replied_to,"1,36062398639317E+018",109,114,0.9507,Place,Brasil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
