conversation_id,entities/urls/0/start,entities/urls/0/end,entities/urls/0/url,entities/urls/0/expanded_url,entities/urls/0/display_url,entities/hashtags/0/start,entities/hashtags/0/end,entities/hashtags/0/tag,entities/mentions/0/start,entities/mentions/0/end,entities/mentions/0/username,author_id,text,possibly_sensitive,geo/place_id,reply_settings,created_at,attachments/media_keys/0,lang,source,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,id,entities/hashtags/1/start,entities/hashtags/1/end,entities/hashtags/1/tag,entities/annotations/0/start,entities/annotations/0/end,entities/annotations/0/probability,entities/annotations/0/type,entities/annotations/0/normalized_text,entities/annotations/1/start,entities/annotations/1/end,entities/annotations/1/probability,entities/annotations/1/type,entities/annotations/1/normalized_text,entities/urls/1/start,entities/urls/1/end,entities/urls/1/url,entities/urls/1/expanded_url,entities/urls/1/display_url,attachments/media_keys/1,entities/hashtags/2/start,entities/hashtags/2/end,entities/hashtags/2/tag,entities/mentions/1/start,entities/mentions/1/end,entities/mentions/1/username,context_annotations/0/domain/id,context_annotations/0/domain/name,context_annotations/0/domain/description,context_annotations/0/entity/id,context_annotations/0/entity/name,context_annotations/0/entity/description,context_annotations/1/domain/id,context_annotations/1/domain/name,context_annotations/1/domain/description,context_annotations/1/entity/id,context_annotations/1/entity/name,context_annotations/1/entity/description,referenced_tweets/0/type,referenced_tweets/0/id,in_reply_to_user_id,entities/annotations/2/start,entities/annotations/2/end,entities/annotations/2/probability,entities/annotations/2/type,entities/annotations/2/normalized_text,entities/mentions/2/start,entities/mentions/2/end,entities/mentions/2/username,entities/mentions/3/start,entities/mentions/3/end,entities/mentions/3/username,geo/coordinates/type,geo/coordinates/coordinates/0,geo/coordinates/coordinates/1,entities/annotations/3/start,entities/annotations/3/end,entities/annotations/3/probability,entities/annotations/3/type,entities/annotations/3/normalized_text,entities/urls/0/images/0/url,entities/urls/0/images/0/width,entities/urls/0/images/0/height,entities/urls/0/images/1/url,entities/urls/0/images/1/width,entities/urls/0/images/1/height,entities/urls/0/status,entities/urls/0/title,entities/urls/0/description,entities/urls/0/unwound_url,entities/hashtags/3/start,entities/hashtags/3/end,entities/hashtags/3/tag,entities/hashtags/4/start,entities/hashtags/4/end,entities/hashtags/4/tag,entities/urls/2/start,entities/urls/2/end,entities/urls/2/url,entities/urls/2/expanded_url,entities/urls/2/display_url,entities/urls/3/start,entities/urls/3/end,entities/urls/3/url,entities/urls/3/expanded_url,entities/urls/3/display_url,attachments/media_keys/2,attachments/media_keys/3,context_annotations/2/domain/id,context_annotations/2/domain/name,context_annotations/2/domain/description,context_annotations/2/entity/id,context_annotations/2/entity/name,context_annotations/2/entity/description,context_annotations/3/domain/id,context_annotations/3/domain/name,context_annotations/3/domain/description,context_annotations/3/entity/id,context_annotations/3/entity/name,context_annotations/4/domain/id,context_annotations/4/domain/name,context_annotations/4/domain/description,context_annotations/4/entity/id,context_annotations/4/entity/name,context_annotations/5/domain/id,context_annotations/5/domain/name,context_annotations/5/domain/description,context_annotations/5/entity/id,context_annotations/5/entity/name,context_annotations/6/domain/id,context_annotations/6/domain/name,context_annotations/6/domain/description,context_annotations/6/entity/id,context_annotations/6/entity/name,context_annotations/6/entity/description,entities/annotations/4/start,entities/annotations/4/end,entities/annotations/4/probability,entities/annotations/4/type,entities/annotations/4/normalized_text,entities/annotations/5/start,entities/annotations/5/end,entities/annotations/5/probability,entities/annotations/5/type,entities/annotations/5/normalized_text
"1,37407351438327E+018",,,,,,,,,0,12,fisico_luis,268869309,"@fisico_luis @MildredAmorett1 @lord2bros @juliocastrom Los antibióticos no los indican para el virus, sino para la neumonía que se desarrolla si se le deja llegar a los pulmones. Por éso las UCIs están colapsadas y no alcanzan los respiradores. La mayoría de fallecidos son los que precisan intubación por insuficiencia respiratoria",False,013c4ab452ad50e9,everyone,2021-03-23T21:10:41+00:00,,es,Twitter for Android,0,1,0,0,"1,37446866636901E+018",,,,,,,,,,,,,,,,,,,,,,,13,29,MildredAmorett1,123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,,,,,,,,replied_to,"1,37446780301355E+018",268869309,,,,,,30,40,lord2bros,41,54,juliocastrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,37122166809868E+018",250,273,https://t.co/0anA5L1jBk,https://twitter.com/ThirdErnie/status/1371192611151691776,twitter.com/ThirdErnie/sta…,,,,,,,81227712,"Quien así lo desee lo puedo pasear por las salas covid-19, o la unidad de cuidados intensivos del Hospital General Guatire Guarenas Dr. Eugenio Pérez D' Bellard, sin la mascarilla y ningún tipo de protección, a ver si es mentira lo de la enfermedad. https://t.co/0anA5L1jBk",False,004ea55b013fa89f,everyone,2021-03-14T22:08:16+00:00,,es,Twitter for Android,10,1,12,0,"1,37122166809868E+018",,,,,,,,,,,,,,,,,,,,,,,,,,123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,36383264172482E+018",,,,,,,,,177,192,HectoRodriguez,81227712,"El hospital guatireño cuenta con salas de covid para los pacientes positivos así como una unidad de cuidados intensivos, la cual fue inaugurada en el año 2020 por el gobernador @HectoRodriguez.",False,0058b0cb7e695890,everyone,2021-02-22T12:55:37+00:00,,es,Twitter for Android,0,1,1,0,"1,36383483255661E+018",,,,,,,,,,,,,,,,,,,,,,,,,,123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,,,,,,,,replied_to,"1,3638336970872E+018",81227712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,35892341294153E+018",,,,,,16,22,Sucre,123,134,jorgerpsuv,3604636577,"♦️ Diputados de #Sucre se encontrarán desplegados con el Pueblo para dar su aporte de lo vivido ante la #AsambleaNacional. @jorgerpsuv 

♦️ Informó que ya iniciaron los trabajos de recuperación de la Unidad de Cuidados Intensivos del HUAPA, que contará con 6 nuevas camas.",False,012a9ff7509f33b5,everyone,2021-02-08T23:39:30+00:00,,es,Twitter for iPhone,1,1,1,0,"1,35892343924813E+018",104,121,AsambleaNacional,200,238,192,Other,Unidad de Cuidados Intensivos del HUAPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replied_to,"1,35892341717357E+018",3604636577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,35711175779859E+018",220,243,https://t.co/6YsIYU9LrN,https://www.instagram.com/p/CK2U1cvMbII/?igshid=lze59i8hlec2,instagram.com/p/CK2U1cvMbII/…,0,5,3Ene,203,219,LaPrensaTachira,"1,10560107019212E+018","#3Ene | Falleció el neurocirujano infantil Carlos Colmenares. Se encontraba en la unidad de cuidados intensivos para pacientes con covid-19 del Hospital Central de San Cristóbal, estado Táchira.  

🗞️📸: @LaPrensaTachira https://t.co/6YsIYU9LrN",False,006fa5d223223cfc,everyone,2021-02-03T23:40:31+00:00,,es,Instagram,1,0,0,0,"1,35711175779859E+018",,,,43,59,0.9923,Person,Carlos Colmenares,144,176,0.3537,Place,Hospital Central de San Cristóbal,,,,,,,,,,,,,123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,,,,,,,,,,,,,,,,,,,,,,Point,-72.2441841,7.75976341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,35401731406943E+018",228,251,https://t.co/T8kL9pGRQi,https://twitter.com/molikar/status/1354017314069426176/photo/1,pic.twitter.com/T8kL9pGRQi,,,,,,,142300415,"ÚLTIMA HORA 
Muere el ministro de Defensa de Colombia, Carlos Holmes Trujillo. Se encontraba internado en el Hospital Militar de Bogotá y era tratado en la unidad de cuidados intensivos por complicaciones derivadas de covid-19. https://t.co/T8kL9pGRQi",False,006fa5d223223cfc,everyone,2021-01-26T10:44:18+00:00,"3,13540173121611E+019",es,Twitter for Android,0,0,0,0,"1,35401731406943E+018",,,,45,52,0.7803,Place,Colombia,55,76,0.9672,Person,Carlos Holmes Trujillo,,,,,,,,,,,,,123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,,,,,,,,,,,109,134,0.8392,Place,Hospital Militar de Bogotá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,35009974568814E+018",280,303,https://t.co/BAtYulIL8s,https://twitter.com/ASOPORTUGUESA/status/1350099751895773188/photo/1,pic.twitter.com/BAtYulIL8s,110,119,Acarigua,,,,522622860,"Aquí, participamos en la impermeabilización de la Unidad de Cuidados Intensivos del Hospital “JM Casal Ramos” #Acarigua #Araure.
⠀
En tiempos de pandemia, debemos velar por nuestra salud y, aunque seguimos cuidándonos para no contagiarnos, tampoco nos descuidamos en otras áreas. https://t.co/BAtYulIL8s",False,019e6a103559d590,everyone,2021-01-15T15:17:19+00:00,"3,13500997470555E+019",es,Twitter for iPhone,1,1,3,0,"1,35009975189577E+018",120,127,Araure,50,78,0.2296,Place,Unidad de Cuidados Intensivos,94,107,0.3638,Place,JM Casal Ramos,280,303,https://t.co/BAtYulIL8s,https://twitter.com/ASOPORTUGUESA/status/1350099751895773188/photo/1,pic.twitter.com/BAtYulIL8s,"3,13500997471017E+019",,,,,,,123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,,,,,,,,replied_to,"1,35009974568814E+018",522622860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,3476466901453E+018",125,148,https://t.co/b1v7DF0fqV,https://twitter.com/el_pais/status/1347543437248229376,twitter.com/el_pais/status…,,,,,,,87550706,"Lo que había que evitar, el COVID no es mortal perse, pero si le metes centenares de pacientes a las UCIS colapsa el sistema https://t.co/b1v7DF0fqV",False,01be351754bcbe13,everyone,2021-01-08T20:49:43+00:00,,es,Twitter for Android,0,0,0,0,"1,3476466901453E+018",,,,,,,,,,,,,,,,,,,,,,,,,,123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,,,,,,,,quoted,"1,34754343724823E+018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,34646567798969E+018",,,,,,,,,,,,905002682,Deberían negarle las ucis a los q participaron en marchas y protestas durante la pandemia y a sus patrocinadores q son peores,False,015cbec154ca1c9c,everyone,2021-01-05T14:36:48+00:00,,es,Twitter for Android,2,0,5,0,"1,34646567798969E+018",,,,,,,,,,,,,,,,,,,,,,,,,,123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,34412025821547E+018",273,296,https://t.co/3gyhS7sju5,https://twitter.com/german_aldama/status/1344120258215469056/photo/1,pic.twitter.com/3gyhS7sju5,,,,,,,126215412,"El gaitero, Jesús Terán «Chavín» fue intubado este martes, luego que su estado de salud se complicara por el Covid-19. La información fue confirmada por el periodista de la fuente gaitera Jhosele Sarabia. Chavín esta recluido en la Unidad de Cuidados Intensivos del SAHUM. https://t.co/3gyhS7sju5",False,01be351754bcbe13,everyone,2020-12-30T03:16:56+00:00,"3,13441202539373E+019",es,Twitter for Android,5,2,9,1,"1,34412025821547E+018",,,,12,30,0.3354,Person,Jesús Terán «Chavín,109,113,0.3285,Organization,Covid,,,,,,,,,,,,,123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,,,,,,,,,,,188,202,0.7946,Person,Jhosele Sarabia,,,,,,,,,,232,270,214,Place,Unidad de Cuidados Intensivos del SAHUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,34028915419901E+018",102,125,https://t.co/oCVAiuTi75,https://actualidad.rt.com/actualidad/377447-mueren-9-pacientes-hospital-turquia,actualidad.rt.com/actualidad/377…,126,143,PuebloLealALaPaz,144,156,VencedorMRT,138189664,Mueren 9 pacientes de una unidad de cuidados intensivos en Turquía al explotar una bombona de oxígeno https://t.co/oCVAiuTi75 #PuebloLealALaPaz @VencedorMRT 🇻🇪,True,00677a6154ac3141,everyone,2020-12-19T13:33:30+00:00,,es,Twitter for Android,2,0,0,0,"1,34028915419901E+018",,,,59,65,0.9871,Place,Turquía,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,34028910600643E+018",102,125,https://t.co/oCVAiuTi75,https://actualidad.rt.com/actualidad/377447-mueren-9-pacientes-hospital-turquia,actualidad.rt.com/actualidad/377…,126,143,PuebloLealALaPaz,144,156,VencedorMRT,138189664,Mueren 9 pacientes de una unidad de cuidados intensivos en Turquía al explotar una bombona de oxígeno https://t.co/oCVAiuTi75 #PuebloLealALaPaz @VencedorMRT 🇻🇪,True,00677a6154ac3141,everyone,2020-12-19T13:33:18+00:00,,es,Twitter for Android,2,0,0,0,"1,34028910600643E+018",,,,59,65,0.9871,Place,Turquía,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,33986383294517E+018",198,221,https://t.co/s8nlHZ2ude,http://bit.ly/34ELLsP,bit.ly/34ELLsP,182,191,Covid_19,0,7,PMedio,186482851,"@PMedio Gobernadora del estado Táchira, Laidy Gómez, reportó que el Hospital Central de San Cristóbal alcanzó 100% de ocupación en su Unidad de Cuidados Intensivos para pacientes de #Covid_19
👇👇👇🇻🇪
https://t.co/s8nlHZ2ude",False,012b6b2c110f0c21,everyone,2020-12-18T09:23:25+00:00,,es,Twitter for Android,1,0,0,0,"1,33986383294517E+018",,,,31,37,0.6562,Place,Táchira,40,50,0.5072,Place,Laidy Gómez,,,,,,,,,,,,,123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,,,,,,,,,,186482851,68,100,0.3488,Place,Hospital Central de San Cristóbal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
