entities/annotations/0/start,entities/annotations/0/end,entities/annotations/0/probability,entities/annotations/0/type,entities/annotations/0/normalized_text,entities/mentions/0/start,entities/mentions/0/end,entities/mentions/0/username,entities/mentions/1/start,entities/mentions/1/end,entities/mentions/1/username,entities/mentions/2/start,entities/mentions/2/end,entities/mentions/2/username,entities/mentions/3/start,entities/mentions/3/end,entities/mentions/3/username,entities/mentions/4/start,entities/mentions/4/end,entities/mentions/4/username,entities/mentions/5/start,entities/mentions/5/end,entities/mentions/5/username,entities/urls/0/start,entities/urls/0/end,entities/urls/0/url,entities/urls/0/expanded_url,entities/urls/0/display_url,entities/hashtags/0/start,entities/hashtags/0/end,entities/hashtags/0/tag,entities/hashtags/1/start,entities/hashtags/1/end,entities/hashtags/1/tag,entities/hashtags/2/start,entities/hashtags/2/end,entities/hashtags/2/tag,attachments/media_keys/0,context_annotations/0/domain/id,context_annotations/0/domain/name,context_annotations/0/domain/description,context_annotations/0/entity/id,context_annotations/0/entity/name,created_at,id,reply_settings,conversation_id,lang,source,author_id,possibly_sensitive,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,text,geo/place_id,entities/annotations/1/start,entities/annotations/1/end,entities/annotations/1/probability,entities/annotations/1/type,entities/annotations/1/normalized_text,entities/annotations/2/start,entities/annotations/2/end,entities/annotations/2/probability,entities/annotations/2/type,entities/annotations/2/normalized_text,entities/hashtags/3/start,entities/hashtags/3/end,entities/hashtags/3/tag,context_annotations/1/domain/id,context_annotations/1/domain/name,context_annotations/1/domain/description,context_annotations/1/entity/id,context_annotations/1/entity/name,context_annotations/1/entity/description,context_annotations/2/domain/id,context_annotations/2/domain/name,context_annotations/2/domain/description,context_annotations/2/entity/id,context_annotations/2/entity/name,context_annotations/2/entity/description,in_reply_to_user_id,referenced_tweets/0/type,referenced_tweets/0/id,entities/urls/1/start,entities/urls/1/end,entities/urls/1/url,entities/urls/1/expanded_url,entities/urls/1/display_url,entities/urls/2/start,entities/urls/2/end,entities/urls/2/url,entities/urls/2/expanded_url,entities/urls/2/display_url,entities/urls/3/start,entities/urls/3/end,entities/urls/3/url,entities/urls/3/expanded_url,entities/urls/3/display_url,attachments/media_keys/1,attachments/media_keys/2,attachments/media_keys/3,entities/mentions/6/start,entities/mentions/6/end,entities/mentions/6/username,entities/mentions/7/start,entities/mentions/7/end,entities/mentions/7/username,entities/mentions/8/start,entities/mentions/8/end,entities/mentions/8/username,entities/mentions/9/start,entities/mentions/9/end,entities/mentions/9/username,entities/mentions/10/start,entities/mentions/10/end,entities/mentions/10/username,entities/mentions/11/start,entities/mentions/11/end,entities/mentions/11/username,entities/mentions/12/start,entities/mentions/12/end,entities/mentions/12/username,entities/mentions/13/start,entities/mentions/13/end,entities/mentions/13/username,entities/mentions/14/start,entities/mentions/14/end,entities/mentions/14/username,geo/coordinates/type,geo/coordinates/coordinates/0,geo/coordinates/coordinates/1,entities/annotations/3/start,entities/annotations/3/end,entities/annotations/3/probability,entities/annotations/3/type,entities/annotations/3/normalized_text,context_annotations/3/domain/id,context_annotations/3/domain/name,context_annotations/3/domain/description,context_annotations/3/entity/id,context_annotations/3/entity/name,context_annotations/4/domain/id,context_annotations/4/domain/name,context_annotations/4/domain/description,context_annotations/4/entity/id,context_annotations/4/entity/name,entities/annotations/4/start,entities/annotations/4/end,entities/annotations/4/probability,entities/annotations/4/type,entities/annotations/4/normalized_text,context_annotations/3/entity/description,context_annotations/4/entity/description,entities/hashtags/4/start,entities/hashtags/4/end,entities/hashtags/4/tag,entities/hashtags/5/start,entities/hashtags/5/end,entities/hashtags/5/tag
150,158,0.9433,Place,VENEZUELA,0,9,ejdecena,10,24,NicolasMaduro,25,41,nicmaduroguerra,42,57,HectoRodriguez,58,67,ejdecena,68,83,clarcklaurens1,,,,,,,,,,,,,,,,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,2021-04-26T01:38:53+00:00,1386494963656138757,everyone,1386492624715005953,es,Twitter for Android,1050203478327476225,False,5,0,3,0,"@ejdecena @NicolasMaduro @nicmaduroguerra @HectoRodriguez @ejdecena @clarcklaurens1 PRESIDENTE EN DIAS PASADO POR TELEVISIÓN UD.DIJO QUE EL PUEBLO DE VENEZUELA TENIA GARANTIZADO  EL TRATAMIENTO  PARA COVID-19, AHORITA TENGO 1 ADULTO Y 2 ADOLESCENTES DONDE BUSCO EL TRATAMIENTO",01c93e351e3122fb,,,,,,,,,,,,,,10,Person,Named people in the world like Nelson Mandela,839575776999583745,Nicolás Maduro,President of Venezuela Nicolás Maduro,35,Politician,"Politicians in the world, like Joe Biden",839575776999583745,Nicolás Maduro,President of Venezuela Nicolás Maduro,96431099,replied_to,1386492624715005953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,65,0.3713,Organization,Covid,,,,,,,,,,,,,,,,,,,196,219,https://t.co/ntcq36O0r9,http://Dios.es,Dios.es,247,263,VacunasUrgentes,,,,,,,31384704912416772099,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,2021-04-21T03:05:56+00:00,1384704929378578432,everyone,1384704929378578432,es,Twitter for Android,1193223307744681986,False,2,0,1,0,"El sueldo mínimo mensual es de 2$ y el tratamiento contra la Covid-19 va desde 800$ a más de 1000$ ¿Quién puede pagarlo? Solo la élite del régimen,  de resto los venezolanos estamos a la buena de https://t.co/ntcq36O0r9 necesario vacunar a todos.
#VacunasUrgentes https://t.co/znatBOK2wA",0115394f017772df,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264,287,https://t.co/znatBOK2wA,https://twitter.com/Untsucrearagua2/status/1384704929378578432/photo/1,pic.twitter.com/znatBOK2wA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,41,0.3075,Organization,Covid,,,,,,,,,,,,,,,,,,,,,,,,66,82,salariodehambre,246,264,VacunaciónUrgente,,,,,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,2021-04-21T01:01:32+00:00,1384673622594359298,everyone,1384673622594359298,es,Twitter for Android,1074411170331877384,False,5,0,2,0,"Pagar el tratamiento para superar la Covid-19 es imposible con el #salariodehambre producto de la catástrofe económica del régimen.

En los hogares venezolanos la familia no puede ni siquiera comprar alimentos para cubrir las 3 comidas diarias.  #VacunaciónUrgente",01a74227630d48a8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,138,150,EdwinRojasM,153,167,LaVozDeSucre_,,,,,,,,,,,,,219,242,https://t.co/dJflLoYIgS,https://twitter.com/lucycoa_/status/1384129974509006860/photo/1,pic.twitter.com/dJflLoYIgS,0,13,LaVozDeSucre,169,188,AbrilDeFuegoPatrio,189,218,SucreEsIndependenciaYLealtad,31384129945845133322,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,2021-04-19T13:01:16+00:00,1384129974509006860,everyone,1384129974509006860,es,Twitter for Android,1353805316631244802,False,7,0,1,0,"#LaVozDeSucre El tratamiento intensivo para la atención de paciente con covid-19, está distribuido en los principales centros centinelas. @EdwinRojasM 

@LaVozDeSucre_ 
#AbrilDeFuegoPatrio #SucreEsIndependenciaYLealtad https://t.co/dJflLoYIgS",0165fd44316e9f7f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,2021-04-14T15:23:14+00:00,1382353763055259648,everyone,1382353763055259648,es,Twitter for Android,110506448,False,0,0,1,0,"1 ampolla de tocilizumab (actemra) tiene un costo de 600$, la consigues económica en 520$. La están indicando como parte del tratamiento para el covid-19 (unas 6 ampollas). A cuidarse!",008eb02a542ac3d4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,11,drodriven2,12,19,OianeB,20,34,NicolasMaduro,,,,,,,,,,,,,,,,,,,,,,,,,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,2021-04-14T09:47:23+00:00,1382269241324363777,everyone,1380980919515877379,es,Twitter for Android,148430360,False,1,0,1,0,@drodriven2 @OianeB @NicolasMaduro Camarada y porque hay tanta gente haciendo rifa y pidiendo donaciones para poder comprar el tratamiento contra el covid 19 no es un montaje es una realidad que estamos viviendo y no podemos tapar ☀️☀️con los dedos,00c6d37a4dec6abf,,,,,,,,,,,,,,10,Person,Named people in the world like Nelson Mandela,839575776999583745,Nicolás Maduro,President of Venezuela Nicolás Maduro,35,Politician,"Politicians in the world, like Joe Biden",839575776999583745,Nicolás Maduro,President of Venezuela Nicolás Maduro,1241867391711272960,replied_to,1380980919515877379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,173,196,https://t.co/mEDnbEFscz,https://www.thelancet.com/journals/lanres/article/PIIS2213-2600(21)00160-0/fulltext,thelancet.com/journals/lanre…,,,,,,,,,,,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,2021-04-13T10:19:47+00:00,1381915007026335745,everyone,1381915007026335745,es,Twitter for Android,132167541,False,0,0,0,0,"Budesonida, un glucocorticoide inhalado, parece ser un tratamiento eficaz para la infección temprana por COVID-19, que podría aplicarse a los sistemas sanitarios mundiales. https://t.co/mEDnbEFscz",01a74227630d48a8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,97,0.4125,Place,hospital Santos Aníbal Dominicci de Carúpano,219,233,NicolasMaduro,235,246,Mippcivzla,248,264,PresidencialVen,265,277,EdwinRojasM,,,,,,,278,301,https://t.co/PV6HicoWwx,https://twitter.com/lucycoa_/status/1381615861220380676/photo/1,pic.twitter.com/PV6HicoWwx,0,13,LaVozDeSucre,178,191,LaVozDeSucre,192,218,SucreSeCuidaContraElCovid,31381615855574863876,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,2021-04-12T14:31:05+00:00,1381615861220380676,everyone,1381615861220380676,es,Twitter for Android,1353805316631244802,False,1,0,0,0,"#LaVozDeSucre📣 .Se realizó dotación de insumos en el hospital Santos Aníbal Dominicci de Carúpano, Para garantizar el tratamiento y óptima atención a pacientes con la covid-19.

#LaVozDeSucre
#SucreSeCuidaContraElCovid
@nicolasmaduro 
@mippcivzla 
@presidencialven
@EdwinRojasM https://t.co/PV6HicoWwx",0165fd44316e9f7f,,,,,,,,,,,,,,10,Person,Named people in the world like Nelson Mandela,839575776999583745,Nicolás Maduro,President of Venezuela Nicolás Maduro,35,Politician,"Politicians in the world, like Joe Biden",839575776999583745,Nicolás Maduro,President of Venezuela Nicolás Maduro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,118,0.4389,Place,hospital Santos Aníbal Dominicci de Carúpano,0,12,EdwinRojasM,20,34,LaVozDeSucre_,227,241,NicolasMaduro,243,259,PresidencialVen,260,276,mayurisantuare2,,,,,,,,,200,226,SucreSeCuidaContraElCovid,,,,,,,,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,2021-04-12T14:03:38+00:00,1381608956469121027,everyone,1381608956469121027,es,Twitter for Android,1366409701559332873,False,0,0,0,0,"@EdwinRojasM, desde @LaVozDeSucre_:  ""Se realizó dotación de insumos en el hospital Santos Aníbal Dominicci de Carúpano, Para garantizar el tratamiento y óptima atención a pacientes con la covid-19.""
#SucreSeCuidaContraElCovid
@nicolasmaduro 
@presidencialven @mayurisantuare2",012a9ff7509f33b5,,,,,,,,,,,,,,10,Person,Named people in the world like Nelson Mandela,839575776999583745,Nicolás Maduro,President of Venezuela Nicolás Maduro,35,Politician,"Politicians in the world, like Joe Biden",839575776999583745,Nicolás Maduro,President of Venezuela Nicolás Maduro,140922830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,10,leometal7,11,24,carmeLaLongo,,,,,,,,,,,,,25,48,https://t.co/GgTuaXluHc,https://eldiario.com?p=157848,eldiario.com/?p=157848,,,,,,,,,,,,,,,,2021-04-12T02:49:51+00:00,1381439392791822338,everyone,1381392030589456384,und,Twitter for Android,2193480042,False,10,0,8,0,@leometal7 @carmeLaLongo https://t.co/GgTuaXluHc,0058b0cb7e695890,,,,,,,,,,,,,,,,,,,,,,,,,,148798897,replied_to,1381392030589456384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,0.7464,Product,Twitter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,Brand Category,Categories within Brand Verticals that narrow down the scope of Brands,781974596752842752,Services,2021-04-11T19:29:45+00:00,1381328638117830656,everyone,1381328638117830656,es,Twitter for Android,992406039726383104,False,40,1,12,1,Auxilio familia Twitter  personas de buen corazón le pido su ayuda con el corazón en la mano y si está entre sus posibilidades me estarín ayudando a reunir para comprar mi tratamiento para la epilepsia y por favor todos cuídense mucho del covid-19 humildemente Víctor navas,0137799d4f960b21,261,272,0.9743,Person,Víctor navas,,,,,,,,,47,Brand,Brands and Companies,10045225402,Twitter,,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,99,0.5496,Place,COJEDES,51,67,FundehullanVzla,73,89,RedJustLibertad,,,,,,,,,,,,,271,294,https://t.co/1SoOuc32V6,https://twitter.com/Iloveyouvzla/status/1380695449749848071/photo/1,pic.twitter.com/1SoOuc32V6,,,,,,,,,,31380695447468175361,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,2021-04-10T01:33:41+00:00,1380695449749848071,everyone,1380695449749848071,es,Twitter for Android,2438765798,False,0,0,0,0,"Servicio Público

Pilar Guerra es coordinadora de ⁦@FundehullanVzla⁩  y ⁦@RedJustLibertad en COJEDES ⁩ tiene COVID-19 estamos solicitando su apoyo para que pueda cubrir los gastos del tratamiento. 
Ayúda a compartir  con un RT 
SolidariosConPIlar https://t.co/X9rUzCi8Oe https://t.co/1SoOuc32V6",009e6b0e445977d6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247,270,https://t.co/X9rUzCi8Oe,https://twitter.com/FundehullanVzla/status/1380689582799396868/photo/1,pic.twitter.com/X9rUzCi8Oe,,,,,,,,,,,31380689572821106697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,53,0.9232,Person,Carmen Gisela Martinez,,,,,,,,,,,,,,,,,,,124,147,https://t.co/7chEXem3EB,https://2001online.com/comunidad/servicio-publico-ayudemos-a-carmen-gisela-martinez-a-combatir-el-covid-19/,2001online.com/comunidad/serv…,64,70,Covid,77,85,Caracas,,,,,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,2021-04-10T01:23:08+00:00,1380692793866207236,everyone,1380692793866207236,es,Twitter for Android,79901097,False,6,0,1,0,"SERVICIO PÚBLICO | Para la Sra. Carmen Gisela Martinez paciente #Covid-19 en #Caracas necesita apoyo para su tratamiento. 

https://t.co/7chEXem3EB",01a73d6169f504ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,87,0.6198,Place,Pilar Guerra,,,,,,,,,,,,,,,,,,,278,301,https://t.co/oZ02voyQWW,https://twitter.com/ChinoAranguren/status/1380678517948567552/photo/1,pic.twitter.com/oZ02voyQWW,0,8,Cojedes,,,,,,,31380678509715202051,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,2021-04-10T00:26:25+00:00,1380678517948567552,everyone,1380678517948567552,es,Twitter for Android,1199446914812563457,False,6,0,5,1,"#Cojedes | Necesitamos de tu solidaridad para costear tratamiento médico de Pilar Guerra, diagnosticada con Covid-19.  Datos del Pago Móvil: Banco Mercantil: 0105
Teléfono: 04145975208.
Cédula de identidad: 9.984.490,

Vamos todos a unirnos para apoyar a esta gran periodista!! https://t.co/oZ02voyQWW",01975eef4d91e560,108,112,0.3024,Place,Covid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,72,0.3262,Organization,Covid,,,,,,,,,,,,,,,,,,,,,,,,183,202,FalcónExigeVacunas,204,225,UrgenVacunasParaVzla,,,,,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,2021-04-09T23:35:58+00:00,1380665825187803137,everyone,1380665300748795906,es,Twitter for iPhone,224257930,False,0,0,1,0,"Día a día los venezolanos buscan donaciones para el tratamiento del Covid-19, bombonas de oxígeno, manómetros, concentradores, porque los centros de salud estan vacios y sin recursos #FalcónExigeVacunas  #UrgenVacunasParaVzla",01f090006f05e39c,,,,,,,,,,,,,,,,,,,,,,,,,,224257930,replied_to,1380665300748795906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,102,0.9984,Person,Gisela Martínez,,,,,,,,,,,,,,,,,,,223,246,https://t.co/h11oNFYbMe,https://twitter.com/roynieto13/status/1380641579300442119/photo/1,pic.twitter.com/h11oNFYbMe,0,10,09deAbril,11,17,ayuda,18,26,COVID19,31380641570916024322,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,2021-04-09T21:59:38+00:00,1380641579300442119,everyone,1380641579300442119,es,Twitter for Android,1001736074,False,2,0,1,0,"#09deAbril #ayuda #COVID19 
El día de hoy familiares y Amigos pedimos ayuda para mí tía Gisela Martínez para su tratamiento de Covid-19, se encuentra en la clínica Briceño rosii, el que la pueda ayudar sería de gran ayuda. https://t.co/h11oNFYbMe",00ec4c32070f5076,127,131,0.2717,Place,Covid,164,170,0.465,Person,Briceño,,,,,,,,,,,,,,,,,,,223,246,https://t.co/h11oNFYbMe,https://twitter.com/roynieto13/status/1380641579300442119/photo/1,pic.twitter.com/h11oNFYbMe,,,,,,,,,,,31380641577371111424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,44,59,EneidaLayaPsuv,70,80,sundde_ve,116,131,rafaellacava10,196,210,NicolasMaduro,212,227,EneidaLayaPsuv,229,241,PartidoPSUV,277,300,https://t.co/mEAcxqGm9H,https://twitter.com/elio_cordova21/status/1380540735427125253/photo/1,pic.twitter.com/mEAcxqGm9H,0,10,AlMomento,185,194,Covid_19,,,,31380540639679483906,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,2021-04-09T15:18:55+00:00,1380540735427125253,everyone,1380540735427125253,es,Twitter for iPhone,115090623,False,24,2,17,3,"#AlMomento por instrucciones de la ministra @EneidaLayaPsuv el equipo @sundde_ve atendió la denuncia del gobernador @rafaellacava10 sobre la especulación en los precios por tratamiento #Covid_19 
@NicolasMaduro 
@EneidaLayaPsuv 
@PartidoPSUV 
@rafaellacava10 
@avilaelguerrero https://t.co/mEAcxqGm9H",07d9c9a44cc83001,,,,,,,,,,,,,,10,Person,Named people in the world like Nelson Mandela,839575776999583745,Nicolás Maduro,President of Venezuela Nicolás Maduro,35,Politician,"Politicians in the world, like Joe Biden",839575776999583745,Nicolás Maduro,President of Venezuela Nicolás Maduro,,,,277,300,https://t.co/mEAcxqGm9H,https://twitter.com/elio_cordova21/status/1380540735427125253/photo/1,pic.twitter.com/mEAcxqGm9H,277,300,https://t.co/mEAcxqGm9H,https://twitter.com/elio_cordova21/status/1380540735427125253/photo/1,pic.twitter.com/mEAcxqGm9H,277,300,https://t.co/mEAcxqGm9H,https://twitter.com/elio_cordova21/status/1380540735427125253/photo/1,pic.twitter.com/mEAcxqGm9H,31380540639700516865,31380540639763398657,31380540639788548096,243,258,rafaellacava10,260,276,avilaelguerrero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,8,Greciag,9,17,Greciag,,,,,,,,,,,,,18,41,https://t.co/GgTuaXluHc,https://eldiario.com?p=157848,eldiario.com/?p=157848,,,,,,,,,,,,,,,,2021-04-09T05:45:01+00:00,1380396309564289025,everyone,1380213676020543490,und,Twitter for Android,2193480042,False,0,0,1,0,@Greciag @Greciag https://t.co/GgTuaXluHc,0058b0cb7e695890,,,,,,,,,,,,,,,,,,,,,,,,,,108283942,replied_to,1380213676020543490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,16,avilaelguerrero,17,32,rafaellacava10,33,47,YormanMontero,48,58,sundde_ve,59,71,PartidoPSUV,72,82,dcabellor,,,,,,,,,,,,,,,,10,Person,Named people in the world like Nelson Mandela,1138104384351399937,Diosdado Cabello R,2021-04-09T02:09:24+00:00,1380342049837355011,everyone,1380332678898196488,es,Twitter for Android,1223078665703043072,False,0,0,0,0,"@avilaelguerrero @rafaellacava10 @YormanMontero @sundde_ve @PartidoPSUV @dcabellor Debe atacarse de manera equitativa. Puesto que hay muchísima corrupción con el tratamiento que facilita el Estado, a los pacientes que deben ser atendidos de manera preventiva por Covid-19.",012af435641420c7,,,,,,,,,,,,,,35,Politician,"Politicians in the world, like Joe Biden",1138104384351399937,Diosdado Cabello R,,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,178628761,replied_to,1380332678898196488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,179,VacunasParaTodos,,,,,,,,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,2021-04-08T23:06:42+00:00,1380296070077554697,everyone,1380296070077554697,es,Twitter for Android,1334975008779755521,False,1,0,1,0,En 8 días del mes de Abril han fallecido 103 Venezolanos a causa del COVID-19 por no contar con tratamiento ni vacuna preventiva para contrarrestar la enfermedad #VacunasParaTodos,012b6b2c110f0c21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,9,0.9731,Place,Cojedes,212,225,MargaudGpsuv,,,,,,,,,,,,,,,,279,302,https://t.co/kh9z6pZSv6,https://twitter.com/salud_cojedes/status/1380154564880502798/photo/1,pic.twitter.com/kh9z6pZSv6,,,,,,,,,,31380154530919223303,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,2021-04-08T13:44:24+00:00,1380154564880502798,everyone,1380154564880502798,es,Twitter for Android,583107094,False,8,2,8,0,"En Cojedes se garantiza el tratamiento profilactico Carvativir a pacientes internos en las áreas de protección Covid del Hospital Joaquina de Rotondaro en el mcpio Tinaquillo, demostrando el compromiso de la gob @MargaudGpsuv de erradicar las cadenas de transmisión del Covid-19 https://t.co/kh9z6pZSv6",01031ef97be7f374,121,150,0.4774,Place,Hospital Joaquina de Rotondaro,158,173,0.7112,Place,mcpio Tinaquillo,,,,,,,,,,,,,,,,,,,279,302,https://t.co/kh9z6pZSv6,https://twitter.com/salud_cojedes/status/1380154564880502798/photo/1,pic.twitter.com/kh9z6pZSv6,,,,,,,,,,,31380154548900274190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,24,0.9837,Person,Dra Zinnia Ron,,,,,,,,,,,,,,,,,,,261,284,https://t.co/Oariqx4R3c,https://twitter.com/medicenyon/status/1379768468921278465/photo/1,pic.twitter.com/Oariqx4R3c,244,247,rt,248,260,puertoordaz,,,,31379768450621571072,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,2021-04-07T12:10:12+00:00,1379768468921278465,everyone,1379231139580280838,es,Twitter for Android,896916691392843776,False,2,0,0,0,"Mi querida Dra Zinnia Ron, médico psiquiatra que ha sido de gran ayuda para mi vida dió positivo a Covid-19 y su esquema de tratamiento ha cambiado.

Si puedes colaborar monetariamente o con alguno de los medicamentos se te agradece un montón

#rt #puertoordaz https://t.co/Oariqx4R3c",011e9fe872fe6928,99,103,0.342,Person,Covid,,,,,,,,,,,,,,,,,,,,,896916691392843776,replied_to,1379231139580280838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,68,91,https://t.co/sw0WxEcG99,https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/2778366?utm_source=twitter&utm_campaign=content-shareicons&utm_content=article_engagement&utm_medium=social&utm_term=040521#.YGt_TNxmeoc.twitter,jamanetwork.com/journals/jamai…,,,,,,,,,,,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,2021-04-06T11:16:22+00:00,1379392533441224705,everyone,1379392533441224705,es,Twitter for Android,132167541,False,0,0,0,0,Tocilizumab en el tratamiento de pacientes con COVID-19 — Respuesta https://t.co/sw0WxEcG99,01a74227630d48a8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,25,RadicalesContraLaCovid19,,,,,,,,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,2021-04-05T14:21:20+00:00,1379076694552756226,everyone,1379076694552756226,es,Twitter for Android,1069006921,False,7,0,1,0,#RadicalesContraLaCovid19 Morir x covid-19 sería lo d menos. Imagínense todo el tratamiento Y sufrimiento al paciente y familiares q conlleva está enfermedad antes de fallecer. Por eso es mejor evitar el tratamiento covid. Utiliza el tapa boca y mantén la distancia.,00ec4c32070f5076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
