referenced_tweets/0/type,referenced_tweets/0/id,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,reply_settings,entities/mentions/0/start,entities/mentions/0/end,entities/mentions/0/username,entities/mentions/1/start,entities/mentions/1/end,entities/mentions/1/username,entities/mentions/2/start,entities/mentions/2/end,entities/mentions/2/username,in_reply_to_user_id,geo/place_id,id,conversation_id,lang,author_id,created_at,text,possibly_sensitive,source,context_annotations/0/domain/id,context_annotations/0/domain/name,context_annotations/0/domain/description,context_annotations/0/entity/id,context_annotations/0/entity/name,entities/urls/0/start,entities/urls/0/end,entities/urls/0/url,entities/urls/0/expanded_url,entities/urls/0/display_url,entities/hashtags/0/start,entities/hashtags/0/end,entities/hashtags/0/tag,entities/hashtags/1/start,entities/hashtags/1/end,entities/hashtags/1/tag,entities/hashtags/2/start,entities/hashtags/2/end,entities/hashtags/2/tag,entities/hashtags/3/start,entities/hashtags/3/end,entities/hashtags/3/tag,entities/mentions/3/start,entities/mentions/3/end,entities/mentions/3/username,entities/mentions/4/start,entities/mentions/4/end,entities/mentions/4/username,attachments/media_keys/0,entities/annotations/0/start,entities/annotations/0/end,entities/annotations/0/probability,entities/annotations/0/type,entities/annotations/0/normalized_text,entities/annotations/1/start,entities/annotations/1/end,entities/annotations/1/probability,entities/annotations/1/type,entities/annotations/1/normalized_text,entities/annotations/2/start,entities/annotations/2/end,entities/annotations/2/probability,entities/annotations/2/type,entities/annotations/2/normalized_text,entities/annotations/3/start,entities/annotations/3/end,entities/annotations/3/probability,entities/annotations/3/type,entities/annotations/3/normalized_text,entities/annotations/4/start,entities/annotations/4/end,entities/annotations/4/probability,entities/annotations/4/type,entities/annotations/4/normalized_text,entities/annotations/5/start,entities/annotations/5/end,entities/annotations/5/probability,entities/annotations/5/type,entities/annotations/5/normalized_text,context_annotations/0/entity/description,context_annotations/1/domain/id,context_annotations/1/domain/name,context_annotations/1/domain/description,context_annotations/1/entity/id,context_annotations/1/entity/name,context_annotations/1/entity/description,entities/hashtags/4/start,entities/hashtags/4/end,entities/hashtags/4/tag,entities/hashtags/5/start,entities/hashtags/5/end,entities/hashtags/5/tag,entities/hashtags/6/start,entities/hashtags/6/end,entities/hashtags/6/tag,entities/hashtags/7/start,entities/hashtags/7/end,entities/hashtags/7/tag,entities/hashtags/8/start,entities/hashtags/8/end,entities/hashtags/8/tag,entities/hashtags/9/start,entities/hashtags/9/end,entities/hashtags/9/tag,entities/hashtags/10/start,entities/hashtags/10/end,entities/hashtags/10/tag,entities/hashtags/11/start,entities/hashtags/11/end,entities/hashtags/11/tag,geo/coordinates/type,geo/coordinates/coordinates/0,geo/coordinates/coordinates/1,entities/urls/1/start,entities/urls/1/end,entities/urls/1/url,entities/urls/1/expanded_url,entities/urls/1/display_url,attachments/media_keys/1,entities/urls/0/images/0/url,entities/urls/0/images/0/width,entities/urls/0/images/0/height,entities/urls/0/images/1/url,entities/urls/0/images/1/width,entities/urls/0/images/1/height,entities/urls/0/status,entities/urls/0/title,entities/urls/0/description,entities/urls/0/unwound_url,entities/mentions/5/start,entities/mentions/5/end,entities/mentions/5/username,entities/mentions/6/start,entities/mentions/6/end,entities/mentions/6/username,entities/mentions/7/start,entities/mentions/7/end,entities/mentions/7/username,entities/mentions/8/start,entities/mentions/8/end,entities/mentions/8/username,entities/mentions/9/start,entities/mentions/9/end,entities/mentions/9/username,entities/mentions/10/start,entities/mentions/10/end,entities/mentions/10/username,entities/mentions/11/start,entities/mentions/11/end,entities/mentions/11/username,entities/mentions/12/start,entities/mentions/12/end,entities/mentions/12/username,context_annotations/2/domain/id,context_annotations/2/domain/name,context_annotations/2/domain/description,context_annotations/2/entity/id,context_annotations/2/entity/name,context_annotations/3/domain/id,context_annotations/3/domain/name,context_annotations/3/domain/description,context_annotations/3/entity/id,context_annotations/3/entity/name,entities/mentions/13/start,entities/mentions/13/end,entities/mentions/13/username,entities/mentions/14/start,entities/mentions/14/end,entities/mentions/14/username,entities/mentions/15/start,entities/mentions/15/end,entities/mentions/15/username,entities/mentions/16/start,entities/mentions/16/end,entities/mentions/16/username,entities/urls/2/start,entities/urls/2/end,entities/urls/2/url,entities/urls/2/expanded_url,entities/urls/2/display_url,entities/urls/3/start,entities/urls/3/end,entities/urls/3/url,entities/urls/3/expanded_url,entities/urls/3/display_url,attachments/media_keys/2,attachments/media_keys/3,context_annotations/2/entity/description,context_annotations/3/entity/description,context_annotations/4/domain/id,context_annotations/4/domain/name,context_annotations/4/domain/description,context_annotations/4/entity/id,context_annotations/4/entity/name,context_annotations/4/entity/description
,,0,0,0,0,everyone,,,,,,,,,,,0152c0f36270f8b1,1387934122182594561,1387934122182594561,es,2432791146,2021-04-30T00:57:35+00:00,"#29abr

Ayuda para el señor Hamilton Hernández. 
Hoy necesita de nosotros!!
•
•
•
#Emisora #Radio #Deportiva #Deportiva983fm #Salud #Vida #Intervención #Corazón #Cateterismo #Servicio #Público https://t.co/GssscyvSiC",False,Instagram,,,,,,193,216,https://t.co/GssscyvSiC,https://www.instagram.com/p/CORVOTRFNB9/?igshid=xmacrz8besbu,instagram.com/p/CORVOTRFNB9/…,0,6,29abr,82,90,Emisora,91,97,Radio,98,108,Deportiva,,,,,,,,28,45,0.9841,Person,Hamilton Hernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,124,Deportiva983fm,125,131,Salud,132,137,Vida,138,151,Intervención,152,160,Corazón,161,173,Cateterismo,174,183,Servicio,184,192,Público,Point,-66.27633583,8.58674576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,0,everyone,,,,,,,,,,,01939c9a2941c18a,1387930207802335232,1387930207802335232,es,48900654,2021-04-30T00:42:02+00:00,"Me siento en #Suiza viendo que las tendencias en #Venezuela son estás y no alguna referente a sector salud, servicios, zona afectada por vaguada, servicio público, etc. En todo caso, #YoTeCreo o #yotecreoVZLA que incluiría las que ahora son tendencia. https://t.co/rXYz8rrZ6v",False,Twitter for Android,,,,,,252,275,https://t.co/rXYz8rrZ6v,https://twitter.com/dveramatute/status/1387930207802335232/photo/1,pic.twitter.com/rXYz8rrZ6v,13,19,Suiza,49,59,Venezuela,183,192,YoTeCreo,195,208,yotecreoVZLA,,,,,,,31387930204568444940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quoted,1387439931786764295,0,0,0,0,everyone,,,,,,,,,,,007d375579cdad52,1387448959078125569,1387448959078125569,es,103977628,2021-04-28T16:49:44+00:00,"Servicio Público 

👇 https://t.co/JKv0eh0wKg",False,Twitter for Android,,,,,,21,44,https://t.co/JKv0eh0wKg,https://twitter.com/soledadbravo531/status/1387439931786764295,twitter.com/soledadbravo53…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quoted,1387369705229459459,1,0,0,0,everyone,,,,,,,,,,,008eb02a542ac3d4,1387380924321566727,1387380924321566727,es,108647424,2021-04-28T12:19:23+00:00,Servicio público https://t.co/12lOTSb3TD,False,Twitter for Android,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,17,40,https://t.co/12lOTSb3TD,https://twitter.com/francisleonorj/status/1387369705229459459,twitter.com/francisleonorj…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,0,everyone,187,202,bancaynegocios,,,,,,,,01c93e351e3122fb,1386663685700079622,1386663685700079622,es,268261429,2021-04-26T12:49:20+00:00,Hoy 26 de abril las oficinas de las instituciones bancarias del país se encuentran operativas y prestarán sus servicios al público hasta el próximo viernes 30 https://t.co/gBaIuRMecp vía @bancaynegocios,False,Twitter for Android,,,,,,159,182,https://t.co/gBaIuRMecp,https://www.bancaynegocios.com/conozca-las-agencias-bancarias-que-prestaran-servicio-durante-esta-semana/,bancaynegocios.com/conozca-las-ag…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quoted,1386474911338799109,0,0,0,0,everyone,,,,,,,,,,,008eb02a542ac3d4,1386639894441832450,1386639894441832450,es,108647424,2021-04-26T11:14:48+00:00,Servicio público https://t.co/LWyji7ZeCE,False,Twitter for Android,,,,,,17,40,https://t.co/LWyji7ZeCE,https://twitter.com/SeleneBrigitte_/status/1386474911338799109,twitter.com/SeleneBrigitte…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replied_to,1386439232273543168,1,0,3,0,everyone,0,12,NelsonpVzla,13,27,AliomarBracho,28,36,jguaido,1215734960851771394,012b6b2c110f0c21,1386459859768549383,1386439232273543168,es,1330539878711488518,2021-04-25T23:19:24+00:00,@NelsonpVzla @AliomarBracho @jguaido VENEZOLANOS somos muchos que UNIDOS seguímos con Juan Guaido en la LUCHA por RESCATAR nuestra DEMOCRACIA y la reconstrucción de VENEZUELA Salud Educación Agricultura Transporte Público Servicio básicos una MEJOR VENEZUELA mejor calidad de vida somos VENEZOLANOS,False,Twitter for Android,10,Person,Named people in the world like Nelson Mandela,1085232510924029952,Juan Guaido,,,,,,,,,,,,,,,,,,,,,,,,,37,47,0.5398,Person,VENEZOLANOS,66,71,0.8002,Place,UNIDOS,86,96,0.9693,Person,Juan Guaido,165,173,0.9195,Place,VENEZUELA,249,257,0.9158,Place,VENEZUELA,287,297,0.4337,Person,VENEZOLANOS,Juan Guaido,35,Politician,"Politicians in the world, like Joe Biden",1085232510924029952,Juan Guaido,Juan Guaido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replied_to,1386412434794029064,0,0,0,0,everyone,,,,,,,,,,134597815,012af435641420c7,1386412436329091075,1386412434794029064,es,134597815,2021-04-25T20:10:57+00:00,No para prestar un servicio público de calidad. Son 7na calamidad para la sociedad que los sufre.,False,Twitter for Android,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quoted,1386325746143186946,3,0,1,1,everyone,,,,,,,,,,,008eb02a542ac3d4,1386409644352970754,1386409644352970754,es,108647424,2021-04-25T19:59:52+00:00,Servicio público https://t.co/CMlOCQRraj,False,Twitter for Android,,,,,,17,40,https://t.co/CMlOCQRraj,https://twitter.com/raulrivas05_1/status/1386325746143186946,twitter.com/raulrivas05_1/…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quoted,1386014299487883265,0,0,0,0,everyone,,,,,,,,,,,008eb02a542ac3d4,1386409122191400962,1386409122191400962,es,108647424,2021-04-25T19:57:47+00:00,Servicio público https://t.co/3ZBifsq6Yl,False,Twitter for Android,,,,,,17,40,https://t.co/3ZBifsq6Yl,https://twitter.com/OviedoJoelys/status/1386014299487883265,twitter.com/OviedoJoelys/s…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,0,everyone,0,9,servicio,,,,,,,3327379871,00ec4c32070f5076,1386391658787336193,1386391658787336193,es,900387179670777857,2021-04-25T18:48:24+00:00,@Servicio publico se necesita con urgencia el siguiente medicamento para dos hermanitas hospitalizadas por síndrome inflamatorio por covid. Si alguien lo puede donar se le agradece infinita mente . Gracias https://t.co/0jIWAZnjsF,True,Twitter for iPhone,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,206,229,https://t.co/0jIWAZnjsF,https://twitter.com/OlgaMsp/status/1386391658787336193/photo/1,pic.twitter.com/0jIWAZnjsF,,,,,,,,,,,,,,,,,,,31386391645395066883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,229,https://t.co/0jIWAZnjsF,https://twitter.com/OlgaMsp/status/1386391658787336193/photo/1,pic.twitter.com/0jIWAZnjsF,31386391645424324612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
